Name;URL;Author;Price;Number of Ratings;Average Rating
            The Great Alone: A Novel        ;www.amazon.in/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1;Kristin Hannah;$17.39;1,517;4.6 out of 5 stars
            A Brief History of Time        ;www.amazon.in/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1;Stephen Hawking;$10.69;2,128;4.5 out of 5 stars
            Simon vs. the Homo Sapiens Agenda        ;www.amazon.in/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1;Becky Albertalli;$6.69;791;4.7 out of 5 stars
"            The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain        ";www.amazon.in/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1;Not available;$16.79;1,251;4.5 out of 5 stars
            How to Win Friends & Influence People        ;www.amazon.in/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;Dale Carnegie;$9.60;8,055;4.7 out of 5 stars
            Big Preschool Workbook        ;www.amazon.in/Preschool-Workbook-School-Zone-Staff/dp/0887431453?_encoding=UTF8&psc=1;School Zone Staff;$7.49;706;4.7 out of 5 stars
            The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)        ;www.amazon.in/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1;Don Miguel Ruiz;$8.19;6,928;4.6 out of 5 stars
            The Itsy Bitsy Bunny        ;www.amazon.in/Itsy-Bitsy-Bunny-Jeffrey-Burton/dp/1481456210?_encoding=UTF8&psc=1;Jeffrey Burton;$5.68;63;4.8 out of 5 stars
            Fancy Nancy and the Missing Easter Bunny        ;www.amazon.in/Fancy-Nancy-Missing-Easter-Bunny/dp/0062377922?_encoding=UTF8&psc=1;Not available;$3.91;17;4.3 out of 5 stars
            Where Are Baby's Easter Eggs?: A Lift-the-Flap Book        ;www.amazon.in/Where-Babys-Easter-Lift-Flap/dp/1416949240?_encoding=UTF8&psc=1;Karen Katz;$6.99;175;4.6 out of 5 stars
            Bright Baby Touch and Feel Easter        ;www.amazon.in/Bright-Baby-Touch-Feel-Easter/dp/0312513755?_encoding=UTF8&psc=1;Roger Priddy;$4.70;171;3.5 out of 5 stars
            Children of Blood and Bone (Legacy of Orisha)        ;www.amazon.in/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1;Tomi Adeyemi;$11.95;198;4.8 out of 5 stars
            Before We Were Yours: A Novel        ;www.amazon.in/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1;Lisa Wingate;$15.60;5,889;4.7 out of 5 stars
            The Pout-Pout Fish        ;www.amazon.in/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1;Deborah Diesen;$5.79;2,281;4.8 out of 5 stars
            I've Been Thinking . . .: Reflections, Prayers, and Meditations for a Meaningful Life        ;www.amazon.in/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1;Maria Shriver;$11.99;161;4.9 out of 5 stars
            The Splat: Coloring the '90s (Nickelodeon) (Adult Coloring Book)        ;www.amazon.in/Splat-Coloring-Nickelodeon-Adult-Book/dp/1524715212?_encoding=UTF8&psc=1;Not available;$10.34;143;4.6 out of 5 stars
            The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals        ;www.amazon.in/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1;Laurel Randolph;$8.99;2,236;4.1 out of 5 stars
            Baby Touch and Feel: Animals        ;www.amazon.in/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1;DK;$4.19;1,619;4.5 out of 5 stars
            Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be        ;www.amazon.in/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1;Rachel Hollis;$13.83;1,125;4.9 out of 5 stars
            My First Easter        ;www.amazon.in/My-First-Easter-Tomie-dePaola/dp/0448447908?_encoding=UTF8&psc=1;Tomie dePaola;$5.99;81;4.1 out of 5 stars
            Killing the Deep State: The Fight to Save President Trump        ;www.amazon.in/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1;Not available;$17.99;301;4.8 out of 5 stars
            Beneath a Scarlet Sky: A Novel        ;www.amazon.in/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1;Mark Sullivan;$8.63;16,952;4.8 out of 5 stars
            Magnolia Table: A Collection of Recipes for Gathering        ;www.amazon.in/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1;Joanna Gaines;$17.99;Not available;Not available
            Dungeon Master's Guide (D&D Core Rulebook)        ;www.amazon.in/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1;Wizards RPG Team;$29.97;1,137;4.6 out of 5 stars
            Monster Manual (D&D Core Rulebook)        ;www.amazon.in/Monster-Manual-Core-Rulebook-Wizards/dp/0786965614?_encoding=UTF8&psc=1;Wizards RPG Team;$26.43;1,123;4.7 out of 5 stars
            The Rock, the Road, and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began        ;www.amazon.in/Rock-Road-Rabbi-Journey-Scriptural/dp/0785215964?_encoding=UTF8&psc=1;Kathie Lee Gifford;$14.99;59;4.5 out of 5 stars
            Brown Bear, Brown Bear, What Do You See?        ;www.amazon.in/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1;Not available;$6.08;2,678;4.8 out of 5 stars
            Love You Forever        ;www.amazon.in/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1;Robert Munsch;$5.12;6,372;4.8 out of 5 stars
            What to Expect When You're Expecting        ;www.amazon.in/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1;Heidi Murkoff;$14.34;4,171;4.4 out of 5 stars
            Junie B., First Grader: Dumb Bunny (Book 27)        ;www.amazon.in/Junie-B-First-Grader-Bunny/dp/0375838104?_encoding=UTF8&psc=1;Barbara Park;$4.99;128;4.6 out of 5 stars
            Principles: Life and Work        ;www.amazon.in/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1;Ray Dalio;$17.58;455;4.4 out of 5 stars
            Thomas and the Easter Eggs (Thomas & Friends) (Little Golden Book)        ;www.amazon.in/Thomas-Easter-Friends-Little-Golden/dp/110193252X?_encoding=UTF8&psc=1;Not available;$4.99;31;4.7 out of 5 stars
            Educated: A Memoir        ;www.amazon.in/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1;Tara Westover;$16.80;443;4.7 out of 5 stars
            The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing        ;www.amazon.in/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308?_encoding=UTF8&psc=1;Marie Kondō;$10.19;12,916;4.4 out of 5 stars
            There Was an Old Lady Who Swallowed a Chick!        ;www.amazon.in/There-Was-Lady-Swallowed-Chick/dp/0545161819?_encoding=UTF8&psc=1;Lucille Colandro;$4.99;63;4.8 out of 5 stars
            The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat)        ;www.amazon.in/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1;The College Board;$19.79;216;4.5 out of 5 stars
            Potty (Leslie Patricelli board books)        ;www.amazon.in/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1;Leslie Patricelli;$4.00;2,973;4.6 out of 5 stars
            The Sun and Her Flowers        ;www.amazon.in/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1;Rupi Kaur;$10.19;666;4.6 out of 5 stars
            Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering        ;www.amazon.in/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1;Not available;$6.77;158;4.5 out of 5 stars
            The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence        ;www.amazon.in/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1;Leanne Vogel;$20.97;1,450;4.6 out of 5 stars
            Astrophysics for People in a Hurry        ;www.amazon.in/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1;Neil deGrasse Tyson;$11.37;2,589;4.6 out of 5 stars
            I Can Only Imagine: A Memoir        ;www.amazon.in/I-Can-Only-Imagine-Memoir/dp/0785216731?_encoding=UTF8&psc=1;Bart Millard;$11.23;192;5.0 out of 5 stars
            Medical Medium Thyroid Healing: The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr        ;www.amazon.in/Medical-Medium-Thyroid-Healing-Hypothyroidism/dp/1401948367?_encoding=UTF8&psc=1;Anthony William;$16.31;1,181;4.8 out of 5 stars
            Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2)        ;www.amazon.in/Dog-Man-Unleashed-Creator-Underpants/dp/0545935202?_encoding=UTF8&psc=1;Dav Pilkey;$7.99;416;4.8 out of 5 stars
            Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)        ;www.amazon.in/Dog-Man-Kitties-Creator-Underpants/dp/0545935210?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;408;4.8 out of 5 stars
            I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer        ;www.amazon.in/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1;Michelle McNamara;$16.95;161;4.6 out of 5 stars
            Dog Man: From the Creator of Captain Underpants (Dog Man #1)        ;www.amazon.in/Dog-Man-Creator-Captain-Underpants/dp/0545581605?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;353;4.7 out of 5 stars
            Glow15: A Science-Based Plan to Lose Weight, Revitalize Your Skin, and Invigorate Your Life        ;www.amazon.in/Glow15-Science-Based-Weight-Revitalize-Invigorate/dp/1328897672?_encoding=UTF8&psc=1;Naomi Whittel;$15.60;31;4.2 out of 5 stars
            Enlightenment Now: The Case for Reason, Science, Humanism, and Progress        ;www.amazon.in/Enlightenment-Now-Science-Humanism-Progress/dp/0525427570?_encoding=UTF8&psc=1;Steven Pinker;$21.00;191;3.8 out of 5 stars
            The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change        ;www.amazon.in/Habits-Highly-Effective-People-Powerful/dp/1451639619?_encoding=UTF8&psc=1;Stephen R. Covey;$10.25;4,999;4.5 out of 5 stars
            An American Marriage: A Novel (Oprah's Book Club 2018 Selection)        ;www.amazon.in/American-Marriage-Novel-Oprahs-Selection/dp/1616208775?_encoding=UTF8&psc=1;Tayari Jones;$16.17;657;4.6 out of 5 stars
            Where Do Diggers Sleep at Night?        ;www.amazon.in/Where-Do-Diggers-Sleep-Night/dp/0385374151?_encoding=UTF8&psc=1;Brianna Caplan Sayres;$5.26;1,265;4.8 out of 5 stars
            Oh, the Places You'll Go!          ;www.amazon.in/Oh-Places-Youll-Dr-Seuss/dp/0679805273?_encoding=UTF8&psc=1;Dr. Seuss;$15.62;4,031;4.9 out of 5 stars
            Guess How Much I Love You        ;www.amazon.in/Guess-How-Much-Love-You/dp/0763642649?_encoding=UTF8&psc=1;Sam McBratney;$5.49;2,039;4.7 out of 5 stars
            The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition        ;www.amazon.in/Care-Keeping-You-Younger-Revised/dp/1609580834?_encoding=UTF8&psc=1;Not available;$8.89;2,461;4.8 out of 5 stars
